,city,name,reviews,rating,review_id,review_text,review_rating,review_datetime_utc,Labels
40,Calgary,Agape African Store,50,4.5,ChdDSUhNMG9nS0VJQ0FnSUNDMWZTR3JnRRAB,"Nice store, variety of African foods and products, from hair extensions weave to clothing's and cosmetics",5,8/31/2020 5:24,1
41,Calgary,Agape African Store,50,4.5,ChdDSUhNMG9nS0VJQ0FnSURVdl9uZXdRRRAB,Warm reception. Very helpful ladies. They assisted with brainstorming about choices available. Will recommend the store and go back again,5,9/9/2019 21:00,1
42,Calgary,MJ'S African Food Store,8,4.5,ChZDSUhNMG9nS0VJQ0FnSUNwaWNXSmJ3EAE,"If you want the true taste of African foods.MJ'S is your shop,frozen products like beans,matoke,green maize,vegetable, fish list is endless.Very High quality, tastes as fresh as those from the farm when cooked.
Great customer service updates on new products on arrival of shipments.
She never disappoints!!.
Please make MJ'S your favorite store.",5,8/6/2023 0:35,1
45,Calgary,MJ'S African Food Store,8,4.5,ChZDSUhNMG9nS0VJQ0FnSUQ4ei0tNmNnEAE,"It would have been a good place to shop Some of East African Foods but their customer service is very poor. Attendants are very rude and arrogant not friendly at all , the only reason as to why I go back it’s because it’s the only place to get some East African products in Calgary. They are only friendly if you are from Burundi or Rwanda period.",1,8/3/2020 23:57,0
46,Calgary,MJ'S African Food Store,8,4.5,ChZDSUhNMG9nS0VJQ0FnSURJdmJPZkJnEAE,I LOVE that there is somewhere in Calgary where I can get authentic East African food. Excellent service and amazing food. :),5,1/17/2019 22:09,1
47,Calgary,ugonwas.ca,25,5,ChdDSUhNMG9nS0VJQ0FnSURoLThpWHp3RRAB,"I ordered 4 items from ugonwa's- all arrived in good condition, and service was prompt and professional. I went to pick up, and the packaging of the items was so neat and everything was put in a taped small box even though they were not being shipped.",5,3/18/2023 22:35,1
48,Calgary,ugonwas.ca,25,5,ChZDSUhNMG9nS0VJQ0FnSUN5ak9PaVZnEAE,"My experience shopping with Ugonwas was superb, prompt delivery and professionalism. I bought cases of yams and until I exhausted all of my stock none of them went bad. This shows that the quality control in their warehouse is top notch! I'll definitely be coming back for more.",5,1/21/2021 22:42,1
49,Calgary,ugonwas.ca,25,5,ChdDSUhNMG9nS0VJQ0FnSURLd3VXZ293RRAB,"My experience shopping at Ugonwas has been amazing. First off,  love the flat rate shipping, works for me perfectly! Secondly they have a wide variety of my Naija items in stock from frozen ugwu, to bean flour, to pap, to beans, yams, dudu osun, burger King, palm oil, pepper, pomo, etc.Thirdly the items arrive within a short time frame all the way to BC and well packaged for the ride (including frozen items that comes with reusable ice bag and ice). The customer service is also top notch. Overall, I am happy with Ugonwas level of service and products.",5,5/5/2021 2:52,1
54,Calgary,Stockland African Market,36,4.4,ChdDSUhNMG9nS0VJQ0FnSURwMmRIbXpnRRAB,"My favorite Africa store in NE Calgary. They are usually helpful, not rude and prices are comparable. They have almost everything you may be looking for to cook African soups or delicacies. I got some Nigerian food like garri, achi, oha leaves, yams , palmoil, elubo, semolina , iru (locust beans) etc I like the fact that she helps her customer get parking space.",5,8/25/2023 2:35,1
55,Calgary,Stockland African Market,36,4.4,ChdDSUhNMG9nS0VJQ0FnSURleHB2SDRnRRAB,"Clean, spacious well laid our store. Excellent customer service. I am Cameroon and my hubby is Nigerian...and they had every ingredient and condiment (on both sides) that I needed.",5,10/9/2022 2:31,1
57,Calgary,Stockland African Market,36,4.4,ChdDSUhNMG9nS0VJQ0FnSURTanZHdXB3RRAB,"When you're looking for African food items, this is the place to be! They're always super friendly and respectful. When I'm in the store, I always feel like I'm with my family, because the owner and her husband always call me their sister. They will offer to help you throughout.
I was there the other day, a guy came in to buy a bottle of water, but when he checked his pocket, he didn't have coins, the owner told the guy that it's ok he can have the water. It's the little things that matters.",5,12/25/2020 17:15,1
59,Calgary,Stockland African Market,36,4.4,ChZDSUhNMG9nS0VJQ0FnSURTLV9DVkZnEAE,"The lady does not care about food safety. She cut meat, and fixed the meat-cutting machine(which broke down) while she was cutting the meat. She did all of these without changing her gloves.  Imagine all the oil, grime and dirt contaminating the meat she's cutting. If that wasn't enough,  she brought out a dirty rag that had lying on the floor to clean up.
When the machine broke down, she did not think it was necessary to apologise to the customer for the delay.
food safety = 0
customer service = 0",1,1/10/2021 23:41,0
61,Calgary,De Chosen African Market,121,4.3,ChdDSUhNMG9nS0VJQ0FnSUQtbUl6UV9BRRAB,"Someone is tampering with this product. The packaging is very questionable. It is not ogbono. It is a brown starchy powder filler that's that is 95 percent filler...in my opinion. It's also pastey and forms into pieces of starch at the bottom. It does not draw. It's brown flour.

This can possibly harm someone if they have allergies.

I will edit this post with a YouTube link to show how it is in real time.",1,11/20/2022 12:41,0
63,Calgary,De Chosen African Market,121,4.3,ChdDSUhNMG9nS0VJQ0FnSUNodGVUZXRRRRAB,"This store stocks expired products. I bought beans flour from them, and the dates had been cleaned off. You can still read the imprints (barely) on the package, and this product had been expired for almost 10 months. I encourage customers to report them to the city when they notice food tampering - it doesn’t take up to five minutes.
I was going to use the product to prepare something for my 7 month old at home - this could have caused food poisoning or worse! I understand that they need to make a profit, but this shouldn’t be at the cost of their clients’ health.",1,2/18/2023 16:41,0
65,Calgary,De Chosen African Market,121,4.3,ChZDSUhNMG9nS0VJQ0FnSURCcE1tV2V3EAE,The lady with Caribbean accent have a ventricular voice. I wonder who hurt her. She act like the world is against her. The other mama will make your day If not for the mama I won't go there again life is too short to deal with unhappy people.,1,1/14/2023 0:01,0
66,Calgary,De Chosen African Market,121,4.3,ChdDSUhNMG9nS0VJQ0FnSURDdGR6Q3lRRRAB,I was so impressed by the service I received today. The lady that attended to me was very patient and kind. She helped parked all my item so neatly that it was easy for me to move them to my truck as I cam from Lethbridge. Thanks so much.,5,10/5/2020 21:02,1
67,Calgary,De Chosen African Market,121,4.3,ChZDSUhNMG9nS0VJQ0FnSUNBenFySlhREAE,The lady in the store was super rude to me when I showed up to pick a friends package. Her behaviour changed when I shopped $1000 all together. I drove 33min on the high way to the shop and couldn't afford driving many more minutes to search for another store that's why I went ahead to shop there. But am sure I wouldn't go back there next time. If I were the owner I would have fired her right away,1,4/5/2018 10:40,0
68,Calgary,Fradu Café South African BBQ Ltd.,23,4.7,ChZDSUhNMG9nS0VJQ0FnSURwdFlfbElBEAE,Super tasty food with interesting flavors! The chakala sausage in a roll was definitely a star! This spot is hidden within the Avenida food market and it's definitely one of the gems that I think people need to check out!,5,8/26/2023 12:05,1
69,Calgary,Fradu Café South African BBQ Ltd.,23,4.7,ChdDSUhNMG9nS0VJQ0FnSUNCdDUyQ3B3RRAB,"The owner (Frank) is an amazing person and it was really nice to experience that genuine kind South African hospitality! Knowing it was my birthday he went out of his way to get cake at no charge! Boerwors was amazing and highly recommended as well as the Peri Peri fries!
We will be back!",5,1/7/2023 1:27,1
71,Calgary,Fradu Café South African BBQ Ltd.,23,4.7,ChdDSUhNMG9nS0VJQ0FnSURweG8tSjRBRRAB,"Food and service was amazing! I ordered here for the first time for takeout meals for my 40th birthday. I was craving a taste from home and wanted to share it with my Canadian friends and family. Frank was very quick to respond and give recommendations for my party. His responses were prompt and it was a real pleasure communicating with him. I ordered a couple of mega Shias-Nyama platters,  and some other side dishes like fries and beef ribs. Everything was delicious! Everyone loved the chakalaka, boerewors and the beef ribs were so tender. There was a great selection on the platters, with rice and gravy and chicken and coleslaw as well amongst other things.  Frank even went the extra mile and organized delivery for me as we are just outside of Calgary in Airdrie, I appreciated that so much. Frank and team thank you so much for the delicious food, and making my birthday extra special! I can't wait to come in for a dine in experience with my family in the future.",5,8/21/2023 2:46,1
72,Calgary,Fradu Café South African BBQ Ltd.,23,4.7,ChdDSUhNMG9nS0VJQ0FnSUNwdkszQl9nRRAB,I experienced the delicious taste of South African with my family once again. I'll be coming back over and over again. The prices are very affordable as well.,5,7/30/2023 22:00,1
75,Calgary,Delish Dining,149,4.4,ChdDSUhNMG9nS0VJQ0FnSUNwel9EcjhRRRAB,"Finally, a place where you can enjoy delicious, reasonably priced, fast, and generously portioned Nigerian food in Calgary.

Atmosphere and Vibes: 4/5
The establishment is spacious, modern, and trendy, with great music on Friday nights. I would have given a 5/5 rating if the music volume was slightly lower until 9 pm, and if there was a dedicated space for dancing. 💃🕺🏾

Food: 5/5
Top-notch, large portions, and fast service. The food served five people in just 22 minutes. Appetizers arrived 8 minutes after we placed our order. The Jollof is top notch.

Service: 4/5
The staff is attentive, patient, and always available. I would have given a 4/5 if the bill-paying process was a bit faster.

Conclusion:
I will definitely be back and will bring more hungry friends and authentic Nigerian food aficionados.""",5,8/12/2023 18:27,1
78,Calgary,Delish Dining,149,4.4,ChdDSUhNMG9nS0VJQ0FnSUM2a0lEajRBRRAB,"In the immortal words of Anthony Bourdain, “Food is everything we are. It’s an extension of nationalist feeling, ethnic feeling, your personal history, your province, your region, your tribe, your grandma.”

The abacha and nkowbi I had left me feeling nostalgic.

Service: I called the order and was told it would be ready in 20mins. I arrived exactly 25mins later and still waited another 20mins. Safe to say, this would not be the place to go if pressed for time.

However I will be back as the food was delicious.",4,8/27/2021 23:56,1
80,Calgary,Delish Dining,149,4.4,ChZDSUhNMG9nS0VJQ0FnSUN4cnR6SVVnEAE,"I was embarrassed by the owner and staff because they assumed I made an order which I didn't make and wanted to force me to pay for it. They had to pull up their video recording and saw that it wasn't me, but till today I still didn't get any apology from them.

It was funny that I was letting them know that they missed out on some things I ordered and that the bill should be more than that, and they saw that as an opportunity to charge me for something I didn't order.

This is somewhere I used to visit every other weekend with my friends, but they have the belief that losing just 1 customer wouldn't make a difference.",1,5/17/2023 20:17,0
82,Calgary,FraMe Cuisine,31,4.9,ChZDSUhNMG9nS0VJQ0FnSURSbzZURWFBEAE,"Thank you to Francine and FraMe Cuisine for your amazing service and delicious food! Your hard work and attention to detail truly made our event a success, and we received many compliments from our attendees regarding the quality of the catering. We appreciate your dedication and professionalism, and we look forward to working with you again in the future. Thank you for helping to make our event unforgettable!",5,5/2/2023 15:10,1
83,Calgary,FraMe Cuisine,31,4.9,ChZDSUhNMG9nS0VJQ0FnSURSLThTTmZREAE,"Today’s chicken and beef, both cooked in tomato sauce and served with long grained white rice and vegetables, were tender, tasty and I highly recommend them. Served with a smile, I think these FraMe cooks and staff really like what they’re doing.",5,5/4/2023 19:19,1
85,Calgary,FraMe Cuisine,31,4.9,ChZDSUhNMG9nS0VJQ0FnSUN4eDdIdkFREAE,"FraMe make the best food and it’s always served with a friendly smile. Their portions are a perfect size for this senior, and their prices keep me coming back. Thanks for coming to our community on Tuesdays and Thursdays.",5,5/27/2023 15:33,1
86,Calgary,FraMe Cuisine,31,4.9,ChdDSUhNMG9nS0VJQ0FnSUNKeThiVDR3RRAB,"Customer service is amazing, Francine is incredibly helpful and her food is THE BEST!!! She delivered it, even managed to give her a hug!  Fabulous experience!!! Definitely going to return for more!!!",5,7/5/2023 0:15,1
89,Calgary,African Dine,3,4.7,ChZDSUhNMG9nS0VJQ0FnSURVcS1Qck93EAE,"When it's something I've never had before, it's amazing and different! Would recommend!",5,9/4/2019 17:39,1
91,Calgary,Merilyn's Kitchen,218,3.4,ChdDSUhNMG9nS0VJQ0FnSURSM01LQWl3RRAB,"I went there for the first time yesterday and it was amazing.

Good customer service, food preparation was fast, food was tasty and felt like home. I hope to come here again. Out of all I ate, my best is the Efo Riro. You have to try it! The Suya is really nice too.

You can also get snacks like chinchin, puff puff, meatpie, etc. The aesthetic of the place is like a typical Nigerian restaurant and I love it.",5,5/22/2023 7:56,1
92,Calgary,Merilyn's Kitchen,218,3.4,ChZDSUhNMG9nS0VJQ0FnSUR4N29EcWR3EAE,"A nice Nigerian restaurant in NE of Calgary. Food was good. Very good standard. Tasted fresh and homemade. We had Moimoi and assorted and another plate of beans and plantains. I found it slightly expensive though. Both plates cost $41. The beans and plantain jd no protein.

Also, there was bit of queue. Like people were standing for like 8-10mins before being attended to and another 10/15mins before food is ready.

Overall, I’ll come again, cause food was good. Maybe i’ll call to order ahead if that’s available.",4,6/8/2023 14:45,1
93,Calgary,Merilyn's Kitchen,218,3.4,ChdDSUhNMG9nS0VJQ0FnSUN4d0lMYnBRRRAB,Got Fufu with chicken as well as Jollof rice with tilapia and another Jollof rice with plantain and meat pies. It was all very delicious. The lady up front also gave me a free puff puff to try and that was so good! I thought they were really nice and the food was good. Maybe a bit on the expensive side for the portion sizes but worth it if you're looking for this kind of food.,5,5/8/2023 2:30,1
94,Calgary,Merilyn's Kitchen,218,3.4,ChZDSUhNMG9nS0VJQ0FnSUNKOVAtQ1ZREAE,"Another attempt at giving a Nigerian restaurant a chance. Service, food, atmosphere was mediocre at best. Its just disappointing.

We are new in Calgary and decided to give this place a try. We ordered the poundo yam & okra (see pic of the okra), rice & ofada, and pepper soup. On arrival, there was no one at the register and we had to wait about 10minutes & it took my partner hollering and waving to get a response. I specifically asked if the ofada was the green or the red one of which the lady that attended to me answered that it was green. Lo and behold it looked more like red pepper stew. The Okra was the one that we thought was pretty poor. From what i know, okra was a ‘draw’ soup but what we were served was surely not Okra. I made this known to the lady that served us that I was surprised by this. I took a couple of scoops to feed myself and my 22month old but could no longer take it. I brought it to the attention of the ladies (1 who i believe is the owner). Her response was ‘so what should i do, what should i do?). To avoid confrontation, i requested to just have the assorted meat and we were ready to leave. I asked for egusi soup instead and guess she had a change of heart and provided the egusi as an exchange. This was gracious on her part. The egusi was a bit better. But i could clearly hear the owner grumbling and speaking in the kitchen about me/ the incident. The other lady said I should have ordered ogbono if I wanted draw soup. Welp! It seemed like a joke to be honest. Its just sad that as much as we try to support our own, we are met with so much disappointment and poor service. Our Nigerian food is very expensive and wished we got more value and better experience out of it. Will not be returning. Order the Okra at your own risk!",1,6/22/2023 2:35,0
96,Calgary,Merilyn's Kitchen,218,3.4,ChZDSUhNMG9nS0VJQ0FnSURwM0pPdlFREAE,"I paid for my rice & fish, I asked her where a barber shop was & she said it’s a few blocks away.
I went to the barbers & came back to inform her I was cutting my hair. The signage clearly states she closes @ 9pm.
I got here just before 9pm & she’s gone. Very annoying.",5,8/18/2023 3:11,0
97,Calgary,Merilyn's Kitchen,218,3.4,ChdDSUhNMG9nS0VJQ0FnSUNwNi1pRm93RRAB,"Called to place an order and got rudely interrupted when I asked about puff puff. I understand they don’t pre-order puff puff but I was literally asking to ensure they even had puff puff; so they need to figure that out. I also had the phone hung up on me mid order, for no reason. I will not be going back here again due to such treatment.",1,8/10/2023 17:48,0
98,Calgary,Luubann East African Restaurant,148,4.5,ChZDSUhNMG9nS0VJQ0FnSUNweDQ3VVZBEAE,"Had a chicken suqaar. Was okay but not tasteful as I thought. The service was very poor. Had to wait even to place the order. Didn’t bring water or asked about it so had to request. And only gave one glass of water and took back the water jar. Place was not very clean. Saw a few flies too. Not attentive to the customers. The lady was always on phone. And I asked if they have any desserts, and said no.",3,8/11/2023 16:09,0
99,Calgary,Luubann East African Restaurant,148,4.5,ChdDSUhNMG9nS0VJQ0FnSURtME9qdXlnRRAB,"Nothing fancy, just super delicious food.  We had the goat soup and the lamb entree.  The food was well prepared, presented and packed with delightful flavours.  The service was good with an easy-going and friendly atmosphere.  We will definitely be back to try the many other different entrees.  Highly recommended.",5,1/16/2022 5:50,1
100,Calgary,Luubann East African Restaurant,148,4.5,ChdDSUhNMG9nS0VJQ0FnSURKaExhRHJ3RRAB,"A lovely hole-in-the-wall restaurant that I am very glad to have been introduced to!! The food was excellent, portions were fair as well as prices, service was prompt, and overall I had zero complaints. Very highly recommend this place for anyone seeking authentic and delicious East African food!!

P.S.: The shaah is to die for!!",5,7/10/2023 22:02,1
101,Calgary,Luubann East African Restaurant,148,4.5,ChZDSUhNMG9nS0VJQ0FnSUNXdS1fMGJnEAE,"Don't judge a book by its cover.

This little Somali Restaurant lured me because I was traveling with my friend who has a limited diet...but goat is on her allowed foods list. We have eaten at numerous East African restaurants in Edmonton but were traveling through Calgary and needed to find a similar restaurant.

On the surface, Luubann is not in an ideal neighborhood and parking is hard to find. It is such a little unassuming dining establishment that one might think it's not worth a stop.  And it's certainly not a fancy place.

We would not have normally stopped there if it wasn't because of the diet of my friend. But I am so glad we did.  The lady at the front was so kind and sweet.  We ordered a goat and a beef and we were thrilled. And to top it all off, she brought us two soups for free.

I am so glad to share this review and the five stars. We'll be back.",5,3/7/2022 21:03,1
104,Calgary,Luubann East African Restaurant,148,4.5,ChdDSUhNMG9nS0VJQ0FnSURSMXFtb3ZnRRAB,"was my first time with my daughter and  we found it so good. The food was excellent, the owners were really nice, and love the soup! Congrats!!!!",5,4/24/2023 18:37,1
105,Edmonton,Africart Plus More,5,5,ChZDSUhNMG9nS0VJQ0FnSUR4bmI3RFJ3EAE,They have a wide variety of unique and interesting products. The owners are very personable and well-versed on what seems to be every article they have there. They are definitely one of the best priced shops for authentic African textiles and clothing. They have donated to community projects & charities annually and including Autism Edmonton through 5 Artists 1 Love!,5,6/13/2023 18:58,1
107,Edmonton,Africart Plus More,5,5,ChZDSUhNMG9nS0VJQ0FnSUNzenZQMFFREAE,My favourite store in Bonnie Doon. Have visited several times in the last few years and the lady owner somehow always remembers my wife and I. Very friendly and great customer service!,5,2/2/2020 4:34,1
109,Edmonton,Africart Plus More,5,5,ChZDSUhNMG9nS0VJQ0FnSURBN2ZXdlVREAE,Great selection and friendly customer service!,5,2/17/2018 19:46,1
110,Edmonton,Habesha African Market,224,4.3,ChdDSUhNMG9nS0VJQ0FnSUQyaXBUNnVRRRAB,Thier is a resteraunt at this same location not easy to find not sure of the name but staff will gladly guide you to it. The food is Ethiopian and Eritrean and it's very fresh seems to be made with tons of love. They play traditional music ?? ?? and cook authentic east African cuisine. I was blown away by the good service our waitress was nice attentive and the food was quickly made. Drinks were nice and professionally made their are pool tables so it's like resteraunt meets lounge. The coffee ?? ?? was really good and strong true coffie lovers will appreciate the  experience as a you recieve a near espresso like coffie on a decorative plate with burning insense. They treat you like family make you feel welcome and it's like really like a lounge. Its a laid back feel its casual and the people are nice I strongly recommend visiting them and having a few drinks and playing pool. Cool place it's very new and it'll be a nice place during summers as they have many ideas for outside dining this summer..,4,4/8/2023 22:59,1
111,Edmonton,Habesha African Market,224,4.3,ChdDSUhNMG9nS0VJQ0FnSUR4eWVtcTZnRRAB,"Great place to shop but make sure you check the expiry dates. The produce ranges from super fresh to questionable. Staff is super friendly and eager to assist. If you don't see what your looking for, just ask... some things aren't where you'd expect to find them. Their signature Habesha Ethiopian coffee, whole bean or custom grind is simply exquisite. A must try.
Habesha African Market ia a fresh food oasis in a food desert and a great place to buy a mango.",5,7/30/2023 23:50,1
112,Edmonton,Habesha African Market,224,4.3,ChZDSUhNMG9nS0VJQ0FnSURoei12OWRBEAE,This store is very good customer service is great and I easily found what I wanted Also they are no longer a U-haul drop-off/pick-up location so dont go there it was very recent either this month or last month,5,3/20/2023 22:10,1
113,Edmonton,Habesha African Market,224,4.3,ChdDSUhNMG9nS0VJQ0FnSUN4OTRhaTl3RRAB,It was a great place to shop if you need habesha stuff. There is nothing that you can not find. The staff were great and friendly. The owner as well. All in all that place is enough to make you feel like that you are in one of market place in Addis.,5,5/28/2023 16:58,1
114,Edmonton,Habesha African Market,224,4.3,ChZDSUhNMG9nS0VJQ0FnSURSOXBhbVN3EAE,"Good customer service. Welcoming you warmly. Overall, it's a good place for groceries shopping",5,4/25/2023 4:37,1
117,Edmonton,Habesha African Market,224,4.3,ChdDSUhNMG9nS0VJQ0FnSUR4OWNyNnRRRRAB,The owner doesn't have any respect for his employees. Shame on him the way he treats them.,1,6/13/2023 1:54,0
118,Edmonton,Habesha African Market,224,4.3,ChZDSUhNMG9nS0VJQ0FnSUNSMU9UaVB3EAE,Friendly staff. Good priced meat and vegetables. Lots of hair products,3,3/26/2023 4:40,1
119,Edmonton,Habesha African Market,224,4.3,ChZDSUhNMG9nS0VJQ0FnSURlOU9xelJnEAE,I dropped off a UPS return today and the lady who helped me was very courteous and helpful. She knew exactly what I needed before I even walked up to the till. I was very impressed with her.,5,10/3/2022 16:04,1
121,Edmonton,Habesha African Market,224,4.3,ChZDSUhNMG9nS0VJQ0FnSURla1ppZ01BEAE,"A great family oriented shopping store. A great experience when you are in a special place despite the name of the African shop, but without limits for everyone indeed.  That charm makes me come back again and again. Thank you",5,10/12/2022 13:05,1
122,Edmonton,Habesha African Market,224,4.3,ChdDSUhNMG9nS0VJQ0FnSUR1bVlpbV9nRRAB,"Picked up a u-haul yesterday and drove it ten minutes to my old apartment, ten minutes to the new one, and ten minutes back to the store. Despite this thing being a gas guzzler, the gas gauge did not move because of how short the trip was.

The photos are time stamped and you can see that they look exactly the same at pickup and drop off. I guess Im naive but I thought it was silly to stop to put $3 in on the way back but boy was I wrong.

Because Im honest to a fault, I made the mistake of telling them I hadnt put gas in it because it literally hadnt moved. I guarantee if I hadnt said anything they would not have noticed. They told me I had to take it to the gas station and put the $6 it cost me (and put me over the original amount) or theyd charge me $25 on top of my bill.

I truly cannot understand how eating the cost of $3 is worth losing me as a customer and getting this one star review. You can tell that it didnt move because even with gas prices being the way they are $6 me over the original amount.

They told me that uhaul is the one who makes the rules but I didnt realize the vehicle transmits the gas gauge to uhaul (it doesnt) for a gauge that, had it moved, had a difference of of something as thin as a strand of hair. The lady at the counter went outside and took a picture that looked exactly like the picture I had taken 8 mins before and insisted that it had moved.

I swept out the back as asked and was not refunded the $25 dollars for bringing it back clean as the sign inside and of the box truck said.

I went to this place because it was the closest to my apartment and had an okay rating, but never again.

Its sad because initially I had planned to do some grocery shopping here in the future ???????",1,8/24/2022 9:18,0
124,Edmonton,Habesha African Market,224,4.3,ChZDSUhNMG9nS0VJQ0FnSUNPZ3FxRUJnEAE,"above all, do not drop off your truck with them, incompetents. I dropped off the truck 1 day in advance, he charged my scammers 2 more days and then he said he had to call customer service, I had trouble speaking English and the service was unreachable.",1,6/5/2022 2:02,0
125,Edmonton,Habesha African Market,224,4.3,ChdDSUhNMG9nS0VJQ0FnSUR5OU9qX3FBRRAB,"Friendly devoted owners that make you feel like a VIP! Great selection, variety store, acceptable prices. Things could be a bit neater and prices displayed better. Efforts are definitely noticed, they're doing they're best to meet needs so clutter can be ignored to support a local business that cares",4,2/26/2021 3:06,1
126,Edmonton,Habesha African Market,224,4.3,ChdDSUhNMG9nS0VJQ0FnSUNhaVpINmd3RRAB,Super friendly staff! Awesome product choice with the BEST prices! Not to mention their bread is usually fresh from a local bakery!! Amazing coffee thats the best price around. The best little hidden gem,5,8/3/2021 0:04,1
